0;1;2;3;4;5;6
MARGINALPDBC;0;0;0;0;0;0
2023;01;01;1;0;0;0
2023;01;01;2;0;0;0
2023;01;01;3;0;0;0
2023;01;01;4;0;0;0
2023;01;01;5;0;0;0
2023;01;01;6;0;0;0
2023;01;01;7;0;0;0
2023;01;01;8;0;0;0
2023;01;01;9;0;0;0
2023;01;01;10;0;0;0
2023;01;01;11;0;0;0
2023;01;01;12;0;0;0
2023;01;01;13;0;0;0
2023;01;01;14;0.1;0.1;0
2023;01;01;15;0.1;0.1;0
2023;01;01;16;0.01;0.01;0
2023;01;01;17;1;1;0
2023;01;01;18;4.16;4.16;0
2023;01;01;19;15.1;15.1;0
2023;01;01;20;19.51;19.51;0
2023;01;01;21;24.61;24.61;0
2023;01;01;22;40.07;40.07;0
2023;01;01;23;40.07;40.07;0
2023;01;01;24;16;16;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;02;1;61.38;61.38;0
2023;01;02;2;42.17;42.17;0
2023;01;02;3;42;42;0
2023;01;02;4;42.07;42.07;0
2023;01;02;5;42.17;42.17;0
2023;01;02;6;63.22;63.22;0
2023;01;02;7;85;85;0
2023;01;02;8;105.36;105.36;0
2023;01;02;9;119.46;131;0
2023;01;02;10;120.14;131.58;0
2023;01;02;11;121.21;127;0
2023;01;02;12;125;126.07;0
2023;01;02;13;126.75;127;0
2023;01;02;14;126.75;130;0
2023;01;02;15;128;131;0
2023;01;02;16;128;128;0
2023;01;02;17;129;131.88;0
2023;01;02;18;140;160;0
2023;01;02;19;174.74;174.74;0
2023;01;02;20;165.76;165.76;0
2023;01;02;21;153;153;0
2023;01;02;22;141.67;141.67;0
2023;01;02;23;134.91;134.91;0
2023;01;02;24;124.22;124.22;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;03;1;130.01;130.01;0
2023;01;03;2;120;120;0
2023;01;03;3;118.76;118.76;0
2023;01;03;4;115;115;0
2023;01;03;5;113.63;113.63;0
2023;01;03;6;116.27;116.27;0
2023;01;03;7;138.92;138.92;0
2023;01;03;8;142.11;155.59;0
2023;01;03;9;148.56;169.17;0
2023;01;03;10;158.89;171.18;0
2023;01;03;11;154.9;154.9;0
2023;01;03;12;146.71;146.71;0
2023;01;03;13;133.33;133.33;0
2023;01;03;14;130;130;0
2023;01;03;15;126;126;0
2023;01;03;16;120;120;0
2023;01;03;17;135.56;135.56;0
2023;01;03;18;156.3;156.3;0
2023;01;03;19;169.01;169.01;0
2023;01;03;20;160.99;160.99;0
2023;01;03;21;152.1;152.1;0
2023;01;03;22;149.92;149.92;0
2023;01;03;23;132.53;132.53;0
2023;01;03;24;115;115;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;04;1;119.99;119.99;0
2023;01;04;2;100;100;0
2023;01;04;3;90.23;90.23;0
2023;01;04;4;84.2;84.2;0
2023;01;04;5;80.23;80.23;0
2023;01;04;6;87.31;87.31;0
2023;01;04;7;109;109;0
2023;01;04;8;105.1;105.1;0
2023;01;04;9;134.16;134.16;0
2023;01;04;10;129.3;129.3;0
2023;01;04;11;120.7;120.7;0
2023;01;04;12;96.77;96.77;0
2023;01;04;13;105.03;105.03;0
2023;01;04;14;106;106;0
2023;01;04;15;105.07;105.07;0
2023;01;04;16;103.9;103.9;0
2023;01;04;17;107.98;107.98;0
2023;01;04;18;129.82;129.82;0
2023;01;04;19;167.29;167.29;0
2023;01;04;20;160.6;160.6;0
2023;01;04;21;151.55;151.55;0
2023;01;04;22;140.61;140.61;0
2023;01;04;23;126.58;126.58;0
2023;01;04;24;104.75;104.75;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;05;1;95.05;95.05;0
2023;01;05;2;79.21;79.21;0
2023;01;05;3;68.07;68.07;0
2023;01;05;4;64.27;64.27;0
2023;01;05;5;61.97;61.97;0
2023;01;05;6;65.1;65.1;0
2023;01;05;7;95.05;95.05;0
2023;01;05;8;108.23;108.23;0
2023;01;05;9;118.9;135;0
2023;01;05;10;123.27;123.27;0
2023;01;05;11;104.97;104.97;0
2023;01;05;12;113.53;113.53;0
2023;01;05;13;100.82;100.82;0
2023;01;05;14;96.44;96.44;0
2023;01;05;15;93.9;93.9;0
2023;01;05;16;91.16;91.16;0
2023;01;05;17;94.43;94.43;0
2023;01;05;18;118.9;118.9;0
2023;01;05;19;163.2;163.2;0
2023;01;05;20;177.98;177.98;0
2023;01;05;21;163.99;163.99;0
2023;01;05;22;152;152;0
2023;01;05;23;135;135;0
2023;01;05;24;118.9;118.9;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;06;1;107.21;107.21;0
2023;01;06;2;101.1;101.1;0
2023;01;06;3;96.73;96.73;0
2023;01;06;4;81.37;81.37;0
2023;01;06;5;75.75;75.75;0
2023;01;06;6;81;81;0
2023;01;06;7;97.45;97.45;0
2023;01;06;8;107.82;107.82;0
2023;01;06;9;122.8;122.8;0
2023;01;06;10;125;125;0
2023;01;06;11;120.7;120.7;0
2023;01;06;12;110.05;110.05;0
2023;01;06;13;103.36;103.36;0
2023;01;06;14;90.23;90.23;0
2023;01;06;15;80.23;80.23;0
2023;01;06;16;70;70;0
2023;01;06;17;80.43;80.43;0
2023;01;06;18;121.2;121.2;0
2023;01;06;19;128.47;128.47;0
2023;01;06;20;137.73;137.73;0
2023;01;06;21;137.73;137.73;0
2023;01;06;22;132;132;0
2023;01;06;23;99.9;99.9;0
2023;01;06;24;91.1;91.1;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;07;1;53.42;53.42;0
2023;01;07;2;40.3;40.3;0
2023;01;07;3;25.5;25.5;0
2023;01;07;4;24.8;24.8;0
2023;01;07;5;20;20;0
2023;01;07;6;14.85;14.85;0
2023;01;07;7;14.85;14.85;0
2023;01;07;8;14;14;0
2023;01;07;9;18.28;18.28;0
2023;01;07;10;20.2;20.2;0
2023;01;07;11;18.28;18.28;0
2023;01;07;12;14;14;0
2023;01;07;13;10.35;10.35;0
2023;01;07;14;8;8;0
2023;01;07;15;5.46;5.46;0
2023;01;07;16;4.16;4.16;0
2023;01;07;17;8;8;0
2023;01;07;18;24.61;24.61;0
2023;01;07;19;40;40;0
2023;01;07;20;43.45;43.45;0
2023;01;07;21;50;50;0
2023;01;07;22;43.45;43.45;0
2023;01;07;23;30;30;0
2023;01;07;24;24.61;24.61;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;08;1;7;7;0
2023;01;08;2;5;5;0
2023;01;08;3;4.2;4.2;0
2023;01;08;4;4.16;4.16;0
2023;01;08;5;4.16;4.16;0
2023;01;08;6;4.16;4.16;0
2023;01;08;7;4.16;4.16;0
2023;01;08;8;4.16;4.16;0
2023;01;08;9;4.16;4.16;0
2023;01;08;10;5;5;0
2023;01;08;11;5.1;5.1;0
2023;01;08;12;5.05;5.05;0
2023;01;08;13;4.9;4.9;0
2023;01;08;14;5;5;0
2023;01;08;15;4.6;4.6;0
2023;01;08;16;4.2;4.2;0
2023;01;08;17;4.6;4.6;0
2023;01;08;18;7.1;7.1;0
2023;01;08;19;17.8;17.8;0
2023;01;08;20;24.61;24.61;0
2023;01;08;21;40;40;0
2023;01;08;22;40;40;0
2023;01;08;23;21.94;21.94;0
2023;01;08;24;15.7;15.7;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2023;01;09;1;5.1;5.1;0
2023;01;09;2;4.2;4.2;0
2023;01;09;3;4.2;4.2;0
2023;01;09;4;4.2;4.2;0
2023;01;09;5;4.6;4.6;0
