Year;Month;Day;Time;Price_1
2019;1;1;1;66.88
2019;1;1;2;66.88
2019;1;1;3;66.0
2019;1;1;4;63.64
2019;1;1;5;58.85
2019;1;1;6;55.47
2019;1;1;7;56.0
2019;1;1;8;61.09
2019;1;1;9;61.01
2019;1;1;10;61.0
2019;1;1;11;63.0
2019;1;1;12;63.0
2019;1;1;13;64.03
2019;1;1;14;65.88
2019;1;1;15;65.01
2019;1;1;16;60.84
2019;1;1;17;61.09
2019;1;1;18;63.08
2019;1;1;19;66.66
2019;1;1;20;67.06
2019;1;1;21;67.26
2019;1;1;22;68.07
2019;1;1;23;67.08
2019;1;1;24;64.03
2019;1;2;1;61.74
2019;1;2;2;54.87
2019;1;2;3;54.42
2019;1;2;4;52.99
2019;1;2;5;51.1
2019;1;2;6;51.09
2019;1;2;7;51.1
2019;1;2;8;58.37
2019;1;2;9;63.75
2019;1;2;10;66.1
2019;1;2;11;65.88
2019;1;2;12;63.63
2019;1;2;13;62.8
2019;1;2;14;63.16
2019;1;2;15;61.5
2019;1;2;16;60.69
2019;1;2;17;62.19
2019;1;2;18;67.1
2019;1;2;19;69.3
2019;1;2;20;69.25
2019;1;2;21;68.07
2019;1;2;22;68.01
2019;1;2;23;66.66
2019;1;2;24;64.28
2019;1;3;1;62.01
2019;1;3;2;54.85
2019;1;3;3;52.19
2019;1;3;4;50.21
2019;1;3;5;50.2
2019;1;3;6;52.19
2019;1;3;7;54.91
2019;1;3;8;66.58
2019;1;3;9;66.88
2019;1;3;10;69.12
2019;1;3;11;69.19
2019;1;3;12;68.01
2019;1;3;13;67.2
2019;1;3;14;66.7
2019;1;3;15;67.0
2019;1;3;16;68.01
2019;1;3;17;68.99
2019;1;3;18;70.0
2019;1;3;19;71.1
2019;1;3;20;70.55
2019;1;3;21;68.38
2019;1;3;22;67.83
2019;1;3;23;66.1
2019;1;3;24;66.88
2019;1;4;1;67.2
2019;1;4;2;63.75
2019;1;4;3;58.89
2019;1;4;4;54.94
2019;1;4;5;54.85
2019;1;4;6;58.0
2019;1;4;7;63.0
2019;1;4;8;68.4
2019;1;4;9;69.71
2019;1;4;10;71.06
2019;1;4;11;71.06
2019;1;4;12;70.16
2019;1;4;13;70.01
2019;1;4;14;69.17
2019;1;4;15;69.15
2019;1;4;16;68.4
2019;1;4;17;68.4
2019;1;4;18;69.15
2019;1;4;19;71.06
2019;1;4;20;71.94
2019;1;4;21;70.2
2019;1;4;22;68.71
2019;1;4;23;68.68
2019;1;4;24;68.17
2019;1;5;1;71.68
2019;1;5;2;69.5
2019;1;5;3;68.07
2019;1;5;4;66.0
2019;1;5;5;63.93
2019;1;5;6;62.0
2019;1;5;7;60.84
2019;1;5;8;62.92
2019;1;5;9;60.79
2019;1;5;10;66.92
2019;1;5;11;69.12
2019;1;5;12;68.25
2019;1;5;13;67.67
2019;1;5;14;64.0
2019;1;5;15;61.57
2019;1;5;16;59.4
2019;1;5;17;58.31
2019;1;5;18;67.2
2019;1;5;19;69.0
2019;1;5;20;68.71
2019;1;5;21;68.07
2019;1;5;22;65.38
2019;1;5;23;65.76
2019;1;5;24;62.8
2019;1;6;1;63.75
2019;1;6;2;54.7
2019;1;6;3;54.05
2019;1;6;4;52.2
2019;1;6;5;50.2
2019;1;6;6;50.2
2019;1;6;7;50.2
2019;1;6;8;50.2
2019;1;6;9;52.2
2019;1;6;10;54.7
2019;1;6;11;62.0
2019;1;6;12;64.01
2019;1;6;13;64.18
