lat,lon,date_local,Temp_min_C,Temp_max_C,Temp_media_C,RadiacionGlobal_media_Wm2,Viento_media_ms
43.01008776,-9.188413044333332,2019-01-01,6.85,12.88,9.5,95.0,1.3
43.01008776,-9.188413044333332,2019-01-02,7.02,11.48,8.64,91.8,5.5
43.01008776,-9.188413044333332,2019-01-03,4.4,11.82,7.99,93.0,2.26
43.01008776,-9.188413044333332,2019-01-04,4.69,12.26,8.2,93.7,0.99
43.01008776,-9.188413044333332,2019-01-05,4.41,12.34,8.12,96.0,1.44
43.01008776,-9.188413044333332,2019-01-06,3.25,12.93,7.33,96.3,3.44
43.01008776,-9.188413044333332,2019-01-07,6.39,11.69,8.29,95.4,5.71
43.01008776,-9.188413044333332,2019-01-08,6.54,12.38,8.82,94.3,6.12
43.01008776,-9.188413044333332,2019-01-09,8.13,12.11,9.63,53.9,6.79
43.01008776,-9.188413044333332,2019-01-10,7.25,11.4,8.57,95.9,7.38
43.01008776,-9.188413044333332,2019-01-11,5.79,11.12,7.88,97.3,6.54
43.01008776,-9.188413044333332,2019-01-12,7.05,11.26,8.62,67.5,6.07
43.01008776,-9.188413044333332,2019-01-13,7.57,12.01,9.33,71.1,4.74
43.01008776,-9.188413044333332,2019-01-14,8.5,11.93,9.8,80.6,4.94
43.01008776,-9.188413044333332,2019-01-15,5.58,11.96,8.82,92.4,3.04
43.01008776,-9.188413044333332,2019-01-16,8.64,11.75,9.8,60.2,3.47
43.01008776,-9.188413044333332,2019-01-17,6.11,9.73,8.28,82.3,3.72
43.01008776,-9.188413044333332,2019-01-18,5.19,10.17,8.08,36.5,3.16
43.01008776,-9.188413044333332,2019-01-19,6.69,12.35,10.07,14.3,5.92
43.01008776,-9.188413044333332,2019-01-20,8.34,9.8,9.02,60.3,6.55
43.01008776,-9.188413044333332,2019-01-21,7.94,10.53,8.87,51.5,3.9
43.01008776,-9.188413044333332,2019-01-22,8.61,9.92,9.27,34.4,6.03
43.01008776,-9.188413044333332,2019-01-23,9.64,11.63,10.93,29.2,8.99
43.01008776,-9.188413044333332,2019-01-24,10.15,11.92,11.17,29.7,7.15
43.01008776,-9.188413044333332,2019-01-25,8.76,11.82,10.1,50.0,5.52
43.01008776,-9.188413044333332,2019-01-26,7.73,11.83,9.53,103.5,4.01
43.01008776,-9.188413044333332,2019-01-27,9.15,10.87,9.7,95.5,6.66
43.01008776,-9.188413044333332,2019-01-28,8.46,10.76,10.06,53.3,5.41
43.01008776,-9.188413044333332,2019-01-29,7.69,10.62,9.32,63.7,6.6
43.01008776,-9.188413044333332,2019-01-30,7.51,11.57,9.34,30.8,6.21
43.01008776,-9.188413044333332,2019-01-31,8.2,11.7,10.78,43.3,8.07
43.01008776,-9.188413044333332,2019-02-01,6.4,8.75,7.62,41.1,9.95
43.01008776,-9.188413044333332,2019-02-02,6.47,8.76,7.26,95.6,7.02
43.01008776,-9.188413044333332,2019-02-03,4.37,9.29,6.89,110.3,2.5
43.01008776,-9.188413044333332,2019-02-04,7.77,10.98,9.86,32.5,5.52
43.01008776,-9.188413044333332,2019-02-05,9.48,12.44,10.74,70.6,4.07
43.01008776,-9.188413044333332,2019-02-06,8.82,11.64,10.22,29.8,4.89
43.01008776,-9.188413044333332,2019-02-07,7.46,11.2,9.5,105.8,2.95
43.01008776,-9.188413044333332,2019-02-08,8.22,11.72,10.23,36.4,7.08
43.01008776,-9.188413044333332,2019-02-09,10.96,12.17,11.48,35.9,8.28
43.01008776,-9.188413044333332,2019-02-10,7.88,12.15,10.34,105.4,5.87
43.01008776,-9.188413044333332,2019-02-11,4.37,12.05,8.24,143.1,2.68
43.01008776,-9.188413044333332,2019-02-12,3.57,14.42,9.04,147.4,1.41
43.01008776,-9.188413044333332,2019-02-13,3.96,14.39,8.84,149.3,2.44
43.01008776,-9.188413044333332,2019-02-14,4.6,16.42,10.68,150.4,3.76
43.01008776,-9.188413044333332,2019-02-15,11.52,15.0,13.1,130.9,4.32
43.01008776,-9.188413044333332,2019-02-16,5.44,16.12,10.17,154.5,2.83
43.01008776,-9.188413044333332,2019-02-17,7.9,11.31,10.13,28.4,4.4
43.01008776,-9.188413044333332,2019-02-18,6.72,10.85,8.66,119.6,3.18
43.01008776,-9.188413044333332,2019-02-19,4.39,10.38,7.53,157.0,1.76
43.01008776,-9.188413044333332,2019-02-20,4.42,11.63,8.81,147.5,5.16
43.01008776,-9.188413044333332,2019-02-21,9.67,15.55,12.24,109.6,6.11
43.01008776,-9.188413044333332,2019-02-22,10.93,17.12,13.5,135.2,5.69
43.01008776,-9.188413044333332,2019-02-23,11.45,15.9,13.22,145.2,4.15
43.01008776,-9.188413044333332,2019-02-24,7.22,19.08,12.9,152.5,2.12
43.01008776,-9.188413044333332,2019-02-25,8.34,17.93,12.8,174.3,2.26
43.01008776,-9.188413044333332,2019-02-26,7.25,18.27,12.22,175.5,2.44
