Municipio,Potencia,Grupo,Fecha,Provincia
Tauste,35640.0,Eolico,1999-01-15,Zaragoza
Remolinos,11730.0,Eolico,1999-01-15,Zaragoza
Muel,16200.0,Eolico,1998-09-11,Zaragoza
Plasencia de Jalón,49500.0,Eolico,1999-05-07,Zaragoza
Uncastillo,33000.0,Eolico,2000-03-29,Zaragoza
Cañada Vellida,40800.0,Eolico,2007-12-14,Teruel
Sos del Rey Católico,18750.0,Eolico,2001-12-13,Zaragoza
Sos del Rey Católico,30000.0,Eolico,2008-06-25,Zaragoza
Maella,4150.0,Eolico,2000-05-12,Zaragoza
Borja,1980.0,Eolico,2001-06-25,Zaragoza
Borja,21510.0,Eolico,2001-06-26,Zaragoza
Pancrudo,16150.0,Eolico,2009-01-23,Teruel
Pancrudo,10200.0,Eolico,2012-11-30,Teruel
Pancrudo,11900.0,Eolico,2012-11-30,Teruel
Magallón,10800.0,Eolico,2003-12-02,Zaragoza
Pedrola,19500.0,Eolico,2001-08-01,Zaragoza
Maella,49500.0,Eolico,2002-11-22,Zaragoza
Maella,49500.0,Eolico,2002-11-22,Zaragoza
Pedrola,25500.0,Eolico,2003-01-09,Zaragoza
Pedrola,49500.0,Eolico,2003-01-15,Zaragoza
Cadrete,1670.0,Eolico,2009-01-28,Zaragoza
Tardienta,49500.0,Eolico,2001-12-19,Huesca
Tardienta,44200.0,Eolico,2001-12-19,Huesca
Plasencia de Jalón,15000.0,Eolico,1999-10-19,Zaragoza
Maella,2100.0,Eolico,2001-10-10,Zaragoza
Robres,24000.0,Eolico,2007-05-09,Huesca
Belchite,47850.0,Eolico,2006-03-06,Zaragoza
Maella,16500.0,Eolico,2000-04-14,Zaragoza
Maella,16500.0,Eolico,1999-09-13,Zaragoza
Alcalá de Gurrea,18900.0,Eolico,2005-08-16,Huesca
Almudévar,36000.0,Eolico,2004-03-10,Huesca
Fuendetodos,46000.0,Eolico,2005-06-20,Zaragoza
Fuendetodos,47200.0,Eolico,2005-06-20,Zaragoza
Gurrea de Gállego,36000.0,Eolico,2003-09-26,Huesca
Gurrea de Gállego,2700.0,Eolico,2009-10-01,Huesca
Aguilón,50000.0,Eolico,2011-09-07,Zaragoza
Maella,2000.0,Eolico,2002-09-16,Zaragoza
Borja,49500.0,Eolico,2003-12-29,Zaragoza
Puebla de Alfindén (La),1.1,Solar,2004-01-09,Zaragoza
Alcañiz,2.5,Solar,2003-12-01,Teruel
Escucha,28380.0,Eolico,2003-11-05,Teruel
Grisel,16500.0,Eolico,2001-12-03,Zaragoza
Alcalá de Gurrea,28800.0,Eolico,2002-02-01,Huesca
Zaragoza,18000.0,Eolico,2002-07-30,Zaragoza
María de Huerva,24000.0,Eolico,2002-06-18,Zaragoza
Zaragoza,24000.0,Eolico,2002-06-18,Zaragoza
Zaragoza,24000.0,Eolico,2002-07-30,Zaragoza
María de Huerva,21750.0,Eolico,2002-05-30,Zaragoza
Tarazona,9600.0,Eolico,2002-07-03,Zaragoza
María de Huerva,24000.0,Eolico,2002-09-03,Zaragoza
Magallón,40000.0,Eolico,2006-03-06,Zaragoza
Cetina,3.4,Solar,2005-01-01,Zaragoza
Torre del Compte,2.5,Solar,2004-06-01,Teruel
Zaragoza,5.0,Solar,2005-07-01,Zaragoza
Zaragoza,5.0,Solar,2005-09-01,Zaragoza
Zaragoza,3.6,Solar,2004-10-01,Zaragoza
Alerre,5.0,Solar,2004-09-01,Huesca
Cuevas de Almudén,25080.0,Eolico,2003-03-06,Teruel
Pedrola,49500.0,Eolico,2003-04-30,Zaragoza
Maella,29750.0,Eolico,2003-08-11,Zaragoza
Aliaga,9000.0,Eolico,2012-12-21,Teruel
Aliaga,27000.0,Eolico,2012-12-21,Teruel
Zaragoza,18000.0,Eolico,2017-12-29,Zaragoza
Zaragoza,18000.0,Eolico,2019-03-15,Zaragoza
Zaragoza,12000.0,Eolico,2009-08-04,Zaragoza
Alfajarín,16000.0,Eolico,2007-04-12,Zaragoza
Alfajarín,14000.0,Eolico,2015-02-27,Zaragoza
Monesma y Cajigar,5.0,Solar,2003-10-24,Huesca
Sabiñánigo,2.2,Solar,2004-11-01,Huesca
Muel,5.0,Solar,2005-07-01,Zaragoza
Muel,5.0,Solar,2005-07-01,Zaragoza
Calatayud,2.5,Solar,2007-12-03,Zaragoza
Tarazona,5.0,Solar,2006-02-06,Zaragoza
Valderrobres,2.2,Solar,2007-03-07,Teruel
Muel,23250.0,Eolico,2003-12-05,Zaragoza
Sabiñán,2.2,Solar,2005-07-01,Zaragoza
Huesca,96.0,Solar,2005-10-01,Huesca
Zaragoza,5.0,Solar,2005-07-01,Zaragoza
Banastás,5.0,Solar,2004-08-01,Huesca
Grado (El),5.0,Solar,2004-09-01,Huesca
Zaragoza,5.0,Solar,2004-10-01,Zaragoza
Barbastro,5.0,Solar,2005-01-01,Huesca
Alberite de San Juan,44800.0,Eolico,2005-06-22,Zaragoza
Sestrica,28800.0,Eolico,2005-05-20,Zaragoza
Gurrea de Gállego,31350.0,Eolico,2005-08-17,Huesca
Gurrea de Gállego,8385.0,Solar,2024-11-29,Huesca
Aguilón,36000.0,Eolico,2005-06-20,Zaragoza
Puebla de Híjar (La),5.0,Solar,2004-12-01,Teruel
Alfajarín,5.0,Solar,2005-06-01,Zaragoza
Alfajarín,5.0,Solar,2005-06-01,Zaragoza
