idCon;COD_GEOGRAFICO;NOMBRE_ACTUAL;PROVINCIA;MUNICIPIOS;idINES;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
1;20999;Parzonería general de Gipuzkoa y Araba/Álava;Guipúzcoa;"ASPARRENA;SAN MILLÁN-DONEMILIAGA;ZEGAMA;ZERAIN;IDIAZABAL;SEGURA";"*;01009;01053;20025;20026;20043;20070";3728;41265,4;-2,284952;42,93219;;;
2;1999;Comunidad de la Sierra Brava de Badaya;Álava;"KUARTANGO;IRUÑA OKA-IRUÑA DE OCA;RIBERA ALTA";"*;01020;01901;01046";1992;26014;-2,86075;42,880329;;;
3;1998;Parzoneria de Entzia;Álava;"SALVATIERRA-AGURAIN;SAN MILLÁN-DONEMILIAGA;ASPARRENA;HARANA/VALLE DE ARANA;ARAMA;ARRAIA-MAEZTU";"*;01051;01053;01009;01056;01037";4974;41606;-2,292;42,8157;;;
4;2999;Dehesa de Santiago;Albacete;"VILLAVERDE DE GUADALIMAR;COTILLAS";"*;02084;02028";833,12;16834;-2,553314;38,417319;;;
5;9968;Comunidad de Arauzo de Miel y Huerta del Rey;Burgos;"ARAUZO DE MIEL;HUERTA DE REY";"*;09020;09174";587;11770;-3,3367;41,872578;;;
6;9947;Comunidad de Los Ausines y Revilla del Campo;Burgos;"AUSINES, LOS;REVILLA DEL CAMPO";"*;09030;09314";35;3327;-3,572089;42,177921;;;
7;9986;Comunidad de Barbadillo de Herreros y Vallejimeno (E.L.M.);Burgos;"BARBADILLO DE HERREROS;VALLE DE VALDELAGUNA";"*;09037;09414";26;2165;-3,195027;42,130325;;;
8;9974;Comunidad de 09076, 09290, 09578, 09606 y 09822;Burgos;"BARBADILLO DEL MERCADO;HACINAS;REVILLA Y AHEDO, LA;SALAS DE LOS INFANTES, VILLANUEVA DE CARAZO";"*;09038;09154;09312;09330;09450";235;7207;-3,30794;41,995649;;;
9;9970;Comunidad de 09076, 09290, 09578 y 09822;Burgos;"BARBADILLO DEL MERCADO;HACINAS;REVILLA Y AHEDO, LA;VILLANUEVA DE CARAZO";"*;09038;09154;09312;09450";159;7425;-3,307314;41,974291;;;
10;9978;Cabeza Alta;Burgos;"BARBADILLO DEL MERCADO;REVILLA Y AHEDO, LA";"*;09038;09312";390;8297;-3,371864;42,017203;;;
11;9983;Comunidadad de 09076, 09150 y 09578;Burgos;"BARBADILLO DEL MERCADO;REVILLA Y AHEDO, LA;CASCAJARES DE LA SIERRA";"*;09038;09312;09078";251;13470;-3,37943;42,054375;;;
12;9982;Comunidad de 09076, 09498 y 09578;Burgos;"BARBADILLO DEL MERCADO;REVILLA Y AHEDO, LA;PINILLA DE LOS MOROS";"*;09038;09312;09269";1434;26839;-3,326847;42,05989;;;
13;9948;Comunidad de 09076, 09578, 09606 y 09822;Burgos;"BARBADILLO DEL MERCADO;REVILLA Y AHEDO, LA;SALAS DE LOS INFANTES;VILLANUEVA DE CARAZO";"*;09038;09312;09330;09450";56;3843;-3,316562;42,007805;;;
14;9992;Comunidad de Barbadillo del Pez y Jaramillo de la Fuente;Burgos;"BARBADILLO DEL PEZ;JARAMILLO DE LA FUENTE";"*;09039;09183";1167;19024;-3,264416;42,149978;;;
15;9987;Comunidad de Barbadillo del Pez y Riocavado de la Sierra;Burgos;"BARBADILLO DEL PEZ;RICOVADO DE LA SIERRA";"*;09039;09318";250;8685;-3,228762;42,148857;;;
16;9997;Comunidad de Bascuñana y Viloria de Rioja;Burgos;"BASCUÑANA;VILORIA DE RIOJA";"*;09046;09424";20;3513;-3,112628;42,421909;;;
17;9965;Monte Revenga;Burgos;"CANICOSA DE LA SIERRA;QUINTANAR DE LA SIERRA;REGUMIEL DE LA SIERRA";"*;09067;09289;09309";446;8283;-3,011597;41,962489;;;
18;9966;Comunidad de Canicosa de la Sierra y Vilviestre del Pinar;Burgos;"CANICOSA DE LA SIERRA;VILVIESTRE DEL PINAR";"*;09067;09425";24;2370;-3,052998;41,956592;;;
19;9962;Comunidad de Canicosa de la Sierra y Casarejos;Burgos;"CANICOSA DE LA SIERRA;CASAREJOS";"*;09067;42055";28;2390;-3,040335;41,887933;;;
20;9950;Soncarazo;Burgos;"CARAZO;REVILLA Y AHEDO, LA;VILLANUEVA DE CARAZO";"*;09070;09312;09450";104;10723;-3,351935;41,984352;;;
21;9971;Comunidad de Fuente Carazo;Burgos;"CARAZO;VILLANUEVA DE CARAZO";"*;09070;09450";176;6062;-3,331093;41,972376;;;
22;9979;Ledanía de 09162, 09290, 09412 y 09606;Burgos;"CASTRILLO DE LA REINA;HACINAS;MONASTERIO DE LA SIERRA;SALAS DE LOS INFANTES";"*;09084;09154;09223;09330";3596;39227;-3,16729;42,044617;;;
23;9969;Dehesa de San Felices;Burgos;"CASTRILLO DE LA REINA;MONCALVILLO";"*;09084;09225";39;2491;-3,233362;41,957101;;;
24;9972;Comunidad de Cilleruelo de Arriba y Pineda Trasmonte;Burgos;"CILLERUELO DE ARRIBA;PINEDA TRASMONTE";"*;09104;09267";63;3771;-3,67578;41,897316;;;
25;9988;Comunidad de Covarrubias, Quintanilla del Coco y Retuerta;Burgos;"COVARRUBIAS;QUINTANILLA DEL COCO;RETUERTA";"*;09113;09295;09311";1709,86;25222,6;-3,515965;42,013301;;;
26;9946;Comunidad de Cubillo del Campo y Hontoria de la Cantera;Burgos;"CUBILLO DEL CAMPO;HONTORIA DE LA CANTERA";"*;09114;09162";945;26406;-3,611127;42,173749;;;
27;9949;Comunidad de Gete y Hacinas;Burgos;"HACINAS;PINILLA DE LOS BARRUECOS";"*;09154;09268";100;4674;-3,293794;41,954312;;;
28;9976;Ledanía de Hacinas y Salas de los Infantes;Burgos;"HACINAS;SALAS DE LOS INFANTES";"*;09154;09330";908;23578;-3,281087;41,967041;;;
29;9977;Ledanía de Hacinas, Salas de los Infantes y Villanueva de Carazo;Burgos;"HACINAS;SALAS DE LOS INFANTES;VILLANUEVA DE CARAZO";"*;09154;09330;09450";52;3459;-3,307622;42,007158;;;
30;9984;Comunidad de 09314, 09374, 09356 y 09126;Burgos;"HORTIGÜELA;MAMBRILLAS DE LARA;JURISDICCIÓN DE LARA;CAMPOLARA";"*;09169;09200;09191;09066";832;14234;-3,43979;42,08089;;;
31;9963;Valle de las Venadas;Burgos;"PALACIOS DE LA SIERRA;HONTORIA DEL PINAR";"*;09246;09163";128;7865;-3,111897;41,89006;;;
32;9961;Comunidad de Palacios de la Sierra, Vilviestre del Pinar y San Leonardo de Yagüe;Burgos;"PALACIOS DE LA SIERRA;VILVIESTRE DEL PINAR;SAN LEONARDO DE YAGÜE";"*;09246;09425;42164";90;4528;-3,086768;41,881053;;;
33;9958;Comunidad de Quintanaortuño y Merindad de Río Ubierna;Burgos;"QUINTANAORTUÑO;MERIDAD DE RÍO UBIERNA";"*;09287;09906";71;5730;-3,702983;42,443628;;;
34;9967;Comunidad de Quintanar de la Sierra y Vilviestre del Pinar;Burgos;"QUINTANAR DE LA SIERRA;VILVIESTRE DEL PINAR";"*;09289;09425";67;4956;-3,064296;41,987341;;;
35;9994;Comunidad de Revilla del Campo y Torrelara;Burgos;"REVILLA DEL CAMPO;TORRELARA";"*;09314;09388";61;4611;-3,489663;42,200507;;;
36;9975;Ledanía de Castrillo de la Reina, Hacinas y Salas de los Infantes;Burgos;"SALAS DE LOS INFANTES;HACINAS;CASTRILLO DE LA REINA";"*;09330;09154;09084";9209;111382;-3,205709;42,020778;;;
37;9973;Comunidad de la Aynosa;Burgos;"SANTIBÁÑEZ DE ESGUEVA;CILLERUELO DE ABAJO;BAHABÓN DE ESGUEVA";"*;09355;09103;09033";474;9254;-3,754818;41,878779;;;
38;9996;Comunidad de Villagalijo y San Vicente del Valle;Burgos;"SAN VICENTE DEL VALLE;VILLAGALIJO";"*;09360;09433";516;11966;-3,159007;42,371371;;;
39;9960;Comunidad de Tardajos y Las Quintanillas;Burgos;"TARDAJOS;QUINTANILLAS, LAS";"*;09377;09297";72;3789;-3,854259;42,350893;;;
40;9995;Comunidad de Tardajos y Rabé de las Calzadas;Burgos;"TARDAJOS;RABÉ DE LAS CALZADAS";"*;09377;09304";61;3787;-3,828118;42,33036;;;
41;9991;Comunidad de Tinieblas de la Sierra y San Millán de Lara;Burgos;"TINIEBLAS DE LA SIERRA;SAN MILLÁN DE LARA";"*;09381;09340";197;7857;-3,365019;42,161812;;;
42;9964;Comunidad de Vilviestre del Pinar y Palacios de la Sierra;Burgos;"VILVIESTRE DEL PINAR;PALACIOS DE LA SIERRA";"*;09425;09246";290;10332;-3,092336;41,894174;;;
43;9993;Comunidad de Villoruebo y Torrelara;Burgos;"VILLORUEBO;TORRELARA";"*;09476;09388";65;4004;-3,482629;42,204223;;;
44;9985;Comunidad de Vizcaínos y Jaramillo de la Fuente;Burgos;"VIZCAÍNOS;JARAMILLO DE LA FUENTE";"*;09478;09183";230;8974;-3,290085;42,114198;;;
45;9989;Comunidad de Quintanilla del Agua y Tordueles y Puentedura;Burgos;"QUINTANILLA DEL AGUA Y TORDUELES;PUENTEDURA";"*;09901;09277";585;11394;-3,613288;42,048251;;;
46;9956;Comunidad de Merindad de Río Ubierna, Quintanilla Vivar y Sotragero;Burgos;"MERINDAD DE RÍO UBIERMA;QUINTANILLA VIVAR;SOTRAGERO";"*;09906;09301;09372";44;3143;-3,696911;42,426977;;;
47;19999;Aldovera;Guadalajara;"ILLANA;ALBALATE DE ZORITA";"*;19152;19006";4476;27208;-2,899563;40,235731;;;
48;20998;Mancomunidad de Amezketa y Ordizia;Guipúzcoa;"AMEZKETA;ORDIZIA";"*;20008;20076";3427;25313;-2,05963;42,99159;;;
49;22998;Comunero de Ansó y Hecho;Huesca;"ANSÓ;VALLE DE HECHO";"*;22028;22901";972;14886;-0,667787;42,845726;;;
50;23999;Cuarto del Madroño;Jaén;"TORRES DE ALBÁNCHEZ;BENATAE";"*;23091;23016";727,2;15242,4;-2,755019;38,5184;;;
