CODINSCRIP;CODPROV;NOMBREPROV;CODAUTON;NOMBREAUTON;DENOMINACION;CODINE;INEMUNICIPIO;LATITUD_ETRS89;LONGITUD_ETRS89;ORIGEN_COOR;ALTITUD;ORIGEN_ALTITUD
4010001;01;Araba/Álava;16;País Vasco/Euskadi;Adana;01053000100;01053;42,82253382;-2,47464991;Variado según entidades relacionadas;621;Promedio de las entidades relacionadas
4010002;01;Araba/Álava;16;País Vasco/Euskadi;Agiñaga;01010000100;01010;43,03464399;-3,07063415;Variado según entidades relacionadas;383;Promedio de las entidades relacionadas
4010003;01;Araba/Álava;16;País Vasco/Euskadi;Alegría-Dulantzi;01001000100;01001;42,83981158;-2,51243731;Variado según entidades relacionadas;568;Promedio de las entidades relacionadas
4010004;01;Araba/Álava;16;País Vasco/Euskadi;Antezana de la Ribera;01046000100;01046;42,771447;-2,87662352;Variado según entidades relacionadas;590;Promedio de las entidades relacionadas
4010005;01;Araba/Álava;16;País Vasco/Euskadi;Anuntzeta/Anúcita;01046000200;01046;42,80118678;-2,89857643;Variado según entidades relacionadas;568;Promedio de las entidades relacionadas
4010006;01;Araba/Álava;16;País Vasco/Euskadi;Añes;01010000200;01010;43,05819114;-3,13289708;Variado según entidades relacionadas;429;Promedio de las entidades relacionadas
4010007;01;Araba/Álava;16;País Vasco/Euskadi;Añua;01021000100;01021;42,83271703;-2,53879956;Variado según entidades relacionadas;562;Promedio de las entidades relacionadas
4010008;01;Araba/Álava;16;País Vasco/Euskadi;Apodaka;01018000200;01018;42,91797697;-2,72868592;Variado según entidades relacionadas;547;Promedio de las entidades relacionadas
4010009;01;Araba/Álava;16;País Vasco/Euskadi;Arbulu;01021000200;01021;42,87469836;-2,5660342;Variado según entidades relacionadas;533;Promedio de las entidades relacionadas
4010010;01;Araba/Álava;16;País Vasco/Euskadi;Argandoña;01059001100;01059;42,8396383;-2,58218866;Variado según entidades relacionadas;549;Promedio de las entidades relacionadas
4010011;01;Araba/Álava;16;País Vasco/Euskadi;Armentia;01059001300;01059;42,83234958;-2,69786295;Variado según entidades relacionadas;557;Promedio de las entidades relacionadas
4010013;01;Araba/Álava;16;País Vasco/Euskadi;Arreo;01046000400;01046;42,78456833;-2,96951528;Variado según entidades relacionadas;753;Promedio de las entidades relacionadas
4010014;01;Araba/Álava;16;País Vasco/Euskadi;Arrieta;01027000300;01027;42,85810604;-2,4749594;Variado según entidades relacionadas;574;Promedio de las entidades relacionadas
4010015;01;Araba/Álava;16;País Vasco/Euskadi;Askartza;01059001600;01059;42,84154744;-2,61276884;Variado según entidades relacionadas;530;Promedio de las entidades relacionadas
4010016;01;Araba/Álava;16;País Vasco/Euskadi;Axpuru;01053000200;01053;42,91110439;-2,44694338;Variado según entidades relacionadas;575;Promedio de las entidades relacionadas
4010017;01;Araba/Álava;16;País Vasco/Euskadi;Audikana;01013000100;01013;42,88277772;-2,48626009;Variado según entidades relacionadas;561;Promedio de las entidades relacionadas
4010018;01;Araba/Álava;16;País Vasco/Euskadi;Bachicabo;01055000300;01055;42,78905406;-3,07124167;Variado según entidades relacionadas;650;Promedio de las entidades relacionadas
4010019;01;Araba/Álava;16;País Vasco/Euskadi;Basquiñuelas;01046000700;01046;42,81176206;-2,9609392;Variado según entidades relacionadas;666;Promedio de las entidades relacionadas
4010020;01;Araba/Álava;16;País Vasco/Euskadi;Bergonda/Bergüenda;01902000200;01902;42,77690912;-3,04653428;Variado según entidades relacionadas;481;Promedio de las entidades relacionadas
4010021;01;Araba/Álava;16;País Vasco/Euskadi;Bernedo;01016000300;01016;42,62769577;-2,49582007;Variado según entidades relacionadas;703;Promedio de las entidades relacionadas
4010022;01;Araba/Álava;16;País Vasco/Euskadi;Zerio;01059002200;01059;42,85317476;-2,59005269;Variado según entidades relacionadas;535;Promedio de las entidades relacionadas
4010023;01;Araba/Álava;16;País Vasco/Euskadi;Txintxetru;01053000300;01053;42,83550211;-2,45557388;Variado según entidades relacionadas;601;Promedio de las entidades relacionadas
4010024;01;Araba/Álava;16;País Vasco/Euskadi;Real Valle de Laminoria/Laminoriako Erret Harana;01037010300;01037;42,75347404;-2,4391867;Variado según entidades relacionadas;679;Promedio de las entidades relacionadas
4010025;01;Araba/Álava;16;País Vasco/Euskadi;Ziriano;01008000400;01008;42,9296071;-2,67540003;Variado según entidades relacionadas;564;Promedio de las entidades relacionadas
