Year,Month,Day,IPC Diario
2025,1,1,116.733
2025,1,2,116.733
2025,1,3,116.733
2025,1,4,116.733
2025,1,5,116.733
2025,1,6,116.733
2025,1,7,116.733
2025,1,8,116.733
2025,1,9,116.733
2025,1,10,116.733
2025,1,11,116.733
2025,1,12,116.733
2025,1,13,116.733
2025,1,14,116.733
2025,1,15,116.733
2025,1,16,116.733
2025,1,17,116.733
2025,1,18,116.733
2025,1,19,116.733
2025,1,20,116.733
2025,1,21,116.733
2025,1,22,116.733
2025,1,23,116.733
2025,1,24,116.733
2025,1,25,116.733
2025,1,26,116.733
2025,1,27,116.733
2025,1,28,116.733
2025,1,29,116.733
2025,1,30,116.733
2025,1,31,116.733
2025,2,1,117.191
2025,2,2,117.191
2025,2,3,117.191
2025,2,4,117.191
2025,2,5,117.191
2025,2,6,117.191
2025,2,7,117.191
2025,2,8,117.191
2025,2,9,117.191
2025,2,10,117.191
2025,2,11,117.191
2025,2,12,117.191
2025,2,13,117.191
2025,2,14,117.191
2025,2,15,117.191
2025,2,16,117.191
2025,2,17,117.191
2025,2,18,117.191
2025,2,19,117.191
2025,2,20,117.191
2025,2,21,117.191
2025,2,22,117.191
2025,2,23,117.191
2025,2,24,117.191
2025,2,25,117.191
2025,2,26,117.191
2025,2,27,117.191
2025,2,28,117.191
2025,3,1,117.26
2025,3,2,117.26
2025,3,3,117.26
2025,3,4,117.26
2025,3,5,117.26
2025,3,6,117.26
2025,3,7,117.26
2025,3,8,117.26
2025,3,9,117.26
2025,3,10,117.26
2025,3,11,117.26
2025,3,12,117.26
2025,3,13,117.26
2025,3,14,117.26
2025,3,15,117.26
2025,3,16,117.26
2025,3,17,117.26
2025,3,18,117.26
2025,3,19,117.26
2025,3,20,117.26
2025,3,21,117.26
2025,3,22,117.26
2025,3,23,117.26
2025,3,24,117.26
2025,3,25,117.26
2025,3,26,117.26
2025,3,27,117.26
2025,3,28,117.26
2025,3,29,117.26
2025,3,30,117.26
2025,3,31,117.26
2025,4,1,117.997
2025,4,2,117.997
2025,4,3,117.997
2025,4,4,117.997
2025,4,5,117.997
2025,4,6,117.997
2025,4,7,117.997
2025,4,8,117.997
2025,4,9,117.997
2025,4,10,117.997
2025,4,11,117.997
2025,4,12,117.997
2025,4,13,117.997
2025,4,14,117.997
2025,4,15,117.997
2025,4,16,117.997
2025,4,17,117.997
2025,4,18,117.997
2025,4,19,117.997
2025,4,20,117.997
2025,4,21,117.997
2025,4,22,117.997
2025,4,23,117.997
2025,4,24,117.997
2025,4,25,117.997
2025,4,26,117.997
2025,4,27,117.997
