_id,fecha_de_negociacion,producto_de_mibgas,precios_de_los_productos_mibgas
1,2015-12-16,Producto diario D+1,19.67000
2,2015-12-18,Producto diario D+1,19.40000
3,2015-12-21,Producto intradiario WD,18.55000
4,2015-12-29,Producto diario D+1,19.25000
5,2016-01-05,Producto intradiario WD,19.00000
6,2016-01-05,Producto diario D+1,19.00000
7,2016-01-07,Producto intradiario WD,17.00000
8,2016-01-07,Producto diario D+1,18.75000
9,2016-01-11,Producto intradiario WD,18.50000
10,2016-01-12,Producto diario D+1,18.50000
11,2016-01-13,Producto intradiario WD,18.00000
12,2016-01-14,Producto diario D+1,17.69000
13,2016-01-15,Producto diario D+1,17.52000
14,2016-01-16,Producto diario D+1,17.49000
15,2016-01-17,Producto diario D+1,17.38000
16,2016-01-18,Producto diario D+1,17.31000
17,2016-01-19,Producto intradiario WD,17.70000
18,2016-01-19,Producto diario D+1,17.69000
19,2016-01-20,Producto intradiario WD,17.52000
20,2016-01-20,Producto diario D+1,17.47000
21,2016-01-21,Producto intradiario WD,17.51000
22,2016-01-21,Producto diario D+1,16.94000
23,2016-01-22,Producto intradiario WD,17.50000
24,2016-01-22,Producto diario D+1,16.89000
25,2016-01-23,Producto diario D+1,16.62000
26,2016-01-24,Producto diario D+1,16.79000
27,2016-01-25,Producto intradiario WD,17.00000
28,2016-01-25,Producto diario D+1,16.76000
29,2016-01-26,Producto intradiario WD,17.00000
30,2016-01-26,Producto diario D+1,16.79000
31,2016-01-27,Producto intradiario WD,17.03000
32,2016-01-27,Producto diario D+1,16.98000
33,2016-01-28,Producto diario D+1,16.98000
34,2016-01-29,Producto diario D+1,16.97000
35,2016-01-30,Producto diario D+1,16.83000
36,2016-01-31,Producto diario D+1,16.93000
37,2016-02-01,Producto diario D+1,16.93000
38,2016-02-02,Producto intradiario WD,16.70000
39,2016-02-02,Producto diario D+1,16.93000
40,2016-02-03,Producto diario D+1,16.81000
41,2016-02-04,Producto diario D+1,16.89000
42,2016-02-05,Producto diario D+1,16.19000
43,2016-02-06,Producto diario D+1,16.00000
44,2016-02-07,Producto diario D+1,16.24000
45,2016-02-08,Producto intradiario WD,16.65000
46,2016-02-08,Producto diario D+1,16.54000
47,2016-02-09,Producto diario D+1,16.73000
48,2016-02-10,Producto diario D+1,16.60000
49,2016-02-11,Producto intradiario WD,16.30000
50,2016-02-11,Producto diario D+1,16.27000
51,2016-02-12,Producto diario D+1,15.98000
52,2016-02-13,Producto diario D+1,15.97000
53,2016-02-14,Producto diario D+1,16.62000
54,2016-02-15,Producto intradiario WD,16.11000
55,2016-02-15,Producto diario D+1,16.11000
56,2016-02-16,Producto intradiario WD,16.15000
57,2016-02-16,Producto diario D+1,16.13000
58,2016-02-17,Producto intradiario WD,16.36000
59,2016-02-17,Producto diario D+1,16.34000
60,2016-02-18,Producto intradiario WD,16.00000
61,2016-02-18,Producto diario D+1,16.26000
62,2016-02-19,Producto intradiario WD,16.00000
63,2016-02-19,Producto diario D+1,16.04000
64,2016-02-20,Producto intradiario WD,16.20000
65,2016-02-20,Producto diario D+1,16.04000
66,2016-02-21,Producto diario D+1,16.24000
67,2016-02-22,Producto intradiario WD,16.35000
68,2016-02-22,Producto diario D+1,16.29000
69,2016-02-23,Producto intradiario WD,16.53000
70,2016-02-23,Producto diario D+1,16.18000
71,2016-02-24,Producto diario D+1,16.21000
72,2016-02-25,Producto intradiario WD,16.20000
73,2016-02-25,Producto diario D+1,16.18000
74,2016-02-26,Producto diario D+1,16.18000
75,2016-02-27,Producto diario D+1,16.04000
76,2016-02-28,Producto diario D+1,16.20000
77,2016-02-29,Producto intradiario WD,15.82000
78,2016-02-29,Producto diario D+1,16.24000
79,2016-03-01,Producto intradiario WD,15.99000
80,2016-03-01,Producto diario D+1,16.21000
81,2016-03-02,Producto diario D+1,16.10000
82,2016-03-03,Producto diario D+1,15.89000
83,2016-03-04,Producto intradiario WD,15.13000
84,2016-03-04,Producto diario D+1,15.69000
85,2016-03-05,Producto intradiario WD,16.00000
86,2016-03-05,Producto diario D+1,16.40000
87,2016-03-06,Producto intradiario WD,16.04000
88,2016-03-06,Producto diario D+1,16.38000
89,2016-03-07,Producto intradiario WD,15.60000
90,2016-03-07,Producto diario D+1,16.04000
91,2016-03-08,Producto intradiario WD,16.27000
92,2016-03-08,Producto diario D+1,15.91000
93,2016-03-09,Producto intradiario WD,16.36000
94,2016-03-09,Producto diario D+1,16.19000
95,2016-03-10,Producto intradiario WD,16.07000
96,2016-03-10,Producto diario D+1,16.09000
