Municipio,Potencia,Grupo,Fecha,Provincia,__mun_key__,LATITUD_ETRS89,LONGITUD_ETRS89
Tauste,35640.0,Eolico,1999-01-15,Zaragoza,tauste,"41,92139418","-1,25694062"
Remolinos,11730.0,Eolico,1999-01-15,Zaragoza,remolinos,"41,83806868","-1,17527348"
Muel,16200.0,Eolico,1998-09-11,Zaragoza,muel,"41,46663061","-1,08483691"
Plasencia de JalÃ³n,49500.0,Eolico,1999-05-07,Zaragoza,plasencia jala3n,,
Uncastillo,33000.0,Eolico,2000-03-29,Zaragoza,uncastillo,"42,36158799","-1,13074108"
CaÃ±ada Vellida,40800.0,Eolico,2007-12-14,Teruel,caa+ ada vellida,,
Sos del Rey CatÃ³lico,18750.0,Eolico,2001-12-13,Zaragoza,sos rey cata3lico,,
Sos del Rey CatÃ³lico,30000.0,Eolico,2008-06-25,Zaragoza,sos rey cata3lico,,
Maella,4150.0,Eolico,2000-05-12,Zaragoza,maella,"41,12199909","0,14256843"
Borja,1980.0,Eolico,2001-06-25,Zaragoza,borja,"41,83498182","-1,53215004"
Borja,21510.0,Eolico,2001-06-26,Zaragoza,borja,"41,83498182","-1,53215004"
Pancrudo,16150.0,Eolico,2009-01-23,Teruel,pancrudo,"40,76175159","-1,02878068"
Pancrudo,10200.0,Eolico,2012-11-30,Teruel,pancrudo,"40,76175159","-1,02878068"
Pancrudo,11900.0,Eolico,2012-11-30,Teruel,pancrudo,"40,76175159","-1,02878068"
MagallÃ³n,10800.0,Eolico,2003-12-02,Zaragoza,magalla3n,,
Pedrola,19500.0,Eolico,2001-08-01,Zaragoza,pedrola,"41,79055322","-1,21554213"
Maella,49500.0,Eolico,2002-11-22,Zaragoza,maella,"41,12199909","0,14256843"
Maella,49500.0,Eolico,2002-11-22,Zaragoza,maella,"41,12199909","0,14256843"
Pedrola,25500.0,Eolico,2003-01-09,Zaragoza,pedrola,"41,79055322","-1,21554213"
Pedrola,49500.0,Eolico,2003-01-15,Zaragoza,pedrola,"41,79055322","-1,21554213"
Cadrete,1670.0,Eolico,2009-01-28,Zaragoza,cadrete,"41,55506015","-0,95980215"
Tardienta,49500.0,Eolico,2001-12-19,Huesca,tardienta,"41,97939297","-0,53931958"
Tardienta,44200.0,Eolico,2001-12-19,Huesca,tardienta,"41,97939297","-0,53931958"
Plasencia de JalÃ³n,15000.0,Eolico,1999-10-19,Zaragoza,plasencia jala3n,,
Maella,2100.0,Eolico,2001-10-10,Zaragoza,maella,"41,12199909","0,14256843"
Robres,24000.0,Eolico,2007-05-09,Huesca,robres,"41,86620729","-0,4607889"
Belchite,47850.0,Eolico,2006-03-06,Zaragoza,belchite,"41,29984463","-0,74526089"
Maella,16500.0,Eolico,2000-04-14,Zaragoza,maella,"41,12199909","0,14256843"
Maella,16500.0,Eolico,1999-09-13,Zaragoza,maella,"41,12199909","0,14256843"
AlcalÃ¡ de Gurrea,18900.0,Eolico,2005-08-16,Huesca,alcala! gurrea,,
AlmudÃ©var,36000.0,Eolico,2004-03-10,Huesca,almuda c var,,
Fuendetodos,46000.0,Eolico,2005-06-20,Zaragoza,fuendetodos,"41,34240218","-0,95939508"
Fuendetodos,47200.0,Eolico,2005-06-20,Zaragoza,fuendetodos,"41,34240218","-0,95939508"
Gurrea de GÃ¡llego,36000.0,Eolico,2003-09-26,Huesca,gurrea ga!llego,,
