lat,lon,date_utc,Temp_min_C,Temp_max_C,Temp_media_C,RadiacionGlobal_media_Wm2,Viento_media_ms
43.01008776,-9.188413044333332,2019-01-01,6.85,12.88,9.43,91.1,1.39
43.01008776,-9.188413044333332,2019-01-02,7.02,11.48,8.62,91.8,5.57
43.01008776,-9.188413044333332,2019-01-03,4.4,11.82,7.96,93.0,2.11
43.01008776,-9.188413044333332,2019-01-04,4.69,12.26,8.25,93.7,0.98
43.01008776,-9.188413044333332,2019-01-05,4.04,12.34,7.97,96.0,1.49
43.01008776,-9.188413044333332,2019-01-06,3.25,12.93,7.47,96.3,3.54
43.01008776,-9.188413044333332,2019-01-07,6.39,11.69,8.3,95.4,5.74
43.01008776,-9.188413044333332,2019-01-08,6.54,12.38,8.85,94.3,6.15
43.01008776,-9.188413044333332,2019-01-09,7.95,12.11,9.61,53.9,6.88
43.01008776,-9.188413044333332,2019-01-10,7.03,11.4,8.53,95.9,7.33
43.01008776,-9.188413044333332,2019-01-11,5.79,11.12,7.9,97.3,6.51
43.01008776,-9.188413044333332,2019-01-12,7.05,11.26,8.64,67.5,6.05
43.01008776,-9.188413044333332,2019-01-13,7.57,12.01,9.39,71.1,4.68
43.01008776,-9.188413044333332,2019-01-14,8.3,11.93,9.75,80.6,4.97
43.01008776,-9.188413044333332,2019-01-15,5.58,11.96,8.88,92.4,2.96
43.01008776,-9.188413044333332,2019-01-16,8.52,11.75,9.75,60.2,3.54
43.01008776,-9.188413044333332,2019-01-17,6.11,9.73,8.26,82.3,3.53
43.01008776,-9.188413044333332,2019-01-18,5.19,10.17,8.03,36.5,3.22
43.01008776,-9.188413044333332,2019-01-19,7.07,12.35,10.18,14.3,6.14
43.01008776,-9.188413044333332,2019-01-20,8.34,9.8,8.98,60.3,6.49
43.01008776,-9.188413044333332,2019-01-21,7.94,10.53,8.88,51.5,3.82
43.01008776,-9.188413044333332,2019-01-22,8.61,9.92,9.31,34.4,6.24
43.01008776,-9.188413044333332,2019-01-23,9.89,11.63,10.99,29.2,8.93
