0;1;2;3;4;5;6
MARGINALPDBC;0;0;0;0;0;0
2022;01;01;1;145.86;145.86;0
2022;01;01;2;114.9;114.9;0
2022;01;01;3;113.87;113.87;0
2022;01;01;4;97.8;97.8;0
2022;01;01;5;97.8;97.8;0
2022;01;01;6;95.74;95.74;0
2022;01;01;7;97.8;97.8;0
2022;01;01;8;97.8;97.8;0
2022;01;01;9;97.8;97.8;0
2022;01;01;10;70.05;70.05;0
2022;01;01;11;76.79;76.79;0
2022;01;01;12;84.1;84.1;0
2022;01;01;13;94.74;94.74;0
2022;01;01;14;96.8;96.8;0
2022;01;01;15;97.8;97.8;0
2022;01;01;16;98.52;98.52;0
2022;01;01;17;114.5;114.5;0
2022;01;01;18;149.97;149.97;0
2022;01;01;19;177.22;177.22;0
2022;01;01;20;187.52;187.52;0
2022;01;01;21;189.26;189.26;0
2022;01;01;22;190.81;190.81;0
2022;01;01;23;188.39;188.39;0
2022;01;01;24;167.26;167.26;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2022;01;02;1;133.21;133.21;0
2022;01;02;2;115.87;115.87;0
2022;01;02;3;110.52;110.52;0
2022;01;02;4;113;113;0
2022;01;02;5;115.87;115.87;0
2022;01;02;6;110.52;110.52;0
2022;01;02;7;115.87;115.87;0
2022;01;02;8;129.6;129.6;0
2022;01;02;9;115.87;115.87;0
2022;01;02;10;115.87;115.87;0
2022;01;02;11;113;113;0
2022;01;02;12;115.87;103.7;0
2022;01;02;13;110;103.7;0
2022;01;02;14;110.52;110.52;0
2022;01;02;15;115.87;115.87;0
2022;01;02;16;109.8;109.5;0
2022;01;02;17;115.87;115.87;0
2022;01;02;18;159.79;159.79;0
2022;01;02;19;194.25;194.25;0
2022;01;02;20;198;198;0
2022;01;02;21;208.38;208.38;0
2022;01;02;22;209.1;209.1;0
2022;01;02;23;191.36;191.36;0
2022;01;02;24;178;178;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2022;01;03;1;181.5;181.5;0
2022;01;03;2;160.72;160.72;0
2022;01;03;3;154.64;154.64;0
2022;01;03;4;149.86;149.86;0
2022;01;03;5;144.49;144.49;0
2022;01;03;6;148.86;148.86;0
2022;01;03;7;153.77;153.77;0
2022;01;03;8;160.72;160.72;0
2022;01;03;9;189.26;189.26;0
2022;01;03;10;183.54;183.54;0
2022;01;03;11;160.72;160.72;0
2022;01;03;12;152.2;152.2;0
2022;01;03;13;148.86;148.86;0
2022;01;03;14;142.04;142.04;0
2022;01;03;15;127.38;127.38;0
2022;01;03;16;112.87;112.87;0
2022;01;03;17;126.8;126.8;0
2022;01;03;18;148.49;148.49;0
2022;01;03;19;175.06;175.06;0
2022;01;03;20;180;180;0
2022;01;03;21;153.77;153.77;0
2022;01;03;22;141.94;141.94;0
2022;01;03;23;114.11;114.11;0
2022;01;03;24;100.36;100.36;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2022;01;04;1;125.47;125.47;0
2022;01;04;2;115.55;115.55;0
2022;01;04;3;113.29;113.29;0
2022;01;04;4;105.81;105.81;0
2022;01;04;5;105;105;0
2022;01;04;6;115.11;115.11;0
2022;01;04;7;153.77;153.77;0
2022;01;04;8;161.03;161.03;0
2022;01;04;9;178.91;178.91;0
2022;01;04;10;190;190;0
2022;01;04;11;189.88;189.88;0
2022;01;04;12;182.42;182.42;0
2022;01;04;13;182.46;182.46;0
2022;01;04;14;179.59;179.59;0
2022;01;04;15;163.2;163.2;0
2022;01;04;16;157.3;157.3;0
2022;01;04;17;157.3;157.3;0
2022;01;04;18;163.78;163.78;0
2022;01;04;19;184.94;184.94;0
2022;01;04;20;178.99;178.99;0
2022;01;04;21;156.12;156.12;0
2022;01;04;22;148.65;148.65;0
2022;01;04;23;137.92;137.92;0
2022;01;04;24;112.87;105;0
*;0;0;0;0;0;0
MARGINALPDBC;0;0;0;0;0;0
2022;01;05;1;132.8;120.11;0
2022;01;05;2;106.7;105.1;0
2022;01;05;3;84.5;84.5;0
2022;01;05;4;80;75.38;0
2022;01;05;5;79.11;79.11;0
2022;01;05;6;94.79;94.79;0
2022;01;05;7;169.04;169.04;0
2022;01;05;8;206.07;206.07;0
2022;01;05;9;211.13;211.13;0
2022;01;05;10;213.86;213.86;0
2022;01;05;11;209.1;209.1;0
2022;01;05;12;202.8;202.8;0
2022;01;05;13;199.89;199.89;0
2022;01;05;14;197.34;197.34;0
2022;01;05;15;195.6;195.6;0
2022;01;05;16;200;200;0
