Year,Month,Day,Pot_Eolica_GW
2024,1,1,32.3441279
2024,1,2,32.3441279
2024,1,3,32.3441279
2024,1,4,32.3441279
2024,1,5,32.3441279
2024,1,6,32.3441279
2024,1,7,32.3441279
2024,1,8,32.3441279
2024,1,9,32.3441279
2024,1,10,32.3441279
2024,1,11,32.3441279
2024,1,12,32.3441279
2024,1,13,32.3441279
2024,1,14,32.3441279
2024,1,15,32.3441279
2024,1,16,32.3441279
2024,1,17,32.3441279
2024,1,18,32.3441279
2024,1,19,32.3441279
2024,1,20,32.3441279
2024,1,21,32.3441279
2024,1,22,32.3441279
2024,1,23,32.3441279
2024,1,24,32.3441279
2024,1,25,32.3441279
2024,1,26,32.3441279
2024,1,27,32.3441279
2024,1,28,32.3441279
2024,1,29,32.3441279
2024,1,30,32.3441279
2024,1,31,32.3441279
2024,2,1,32.3441279
2024,2,2,32.3441279
2024,2,3,32.3441279
2024,2,4,32.3441279
2024,2,5,32.3441279
2024,2,6,32.3441279
2024,2,7,32.3441279
2024,2,8,32.3441279
2024,2,9,32.3441279
2024,2,10,32.3441279
2024,2,11,32.3441279
2024,2,12,32.3441279
2024,2,13,32.3441279
2024,2,14,32.3441279
2024,2,15,32.3441279
2024,2,16,32.3441279
2024,2,17,32.3441279
2024,2,18,32.3441279
2024,2,19,32.3441279
2024,2,20,32.3441279
2024,2,21,32.3441279
2024,2,22,32.3441279
2024,2,23,32.3441279
2024,2,24,32.3441279
2024,2,25,32.3441279
2024,2,26,32.3441279
2024,2,27,32.3441279
2024,2,28,32.3441279
2024,3,1,32.3441279
2024,3,2,32.3441279
2024,3,3,32.3441279
2024,3,4,32.3441279
2024,3,5,32.3441279
2024,3,6,32.3441279
2024,3,7,32.3441279
2024,3,8,32.3441279
2024,3,9,32.3441279
2024,3,10,32.3441279
2024,3,11,32.3441279
2024,3,12,32.3441279
2024,3,13,32.3441279
2024,3,14,32.3441279
2024,3,15,32.3441279
2024,3,16,32.3441279
2024,3,17,32.3441279
2024,3,18,32.3441279
2024,3,19,32.3441279
2024,3,20,32.3441279
2024,3,21,32.3441279
2024,3,22,32.3441279
2024,3,23,32.3441279
2024,3,24,32.3441279
2024,3,25,32.3441279
2024,3,26,32.3441279
2024,3,27,32.3441279
2024,3,28,32.3441279
2024,3,29,32.3441279
2024,3,30,32.3441279
2024,3,31,32.3441279
2024,4,1,32.3441279
2024,4,2,32.3441279
2024,4,3,32.3441279
2024,4,4,32.3441279
2024,4,5,32.3441279
2024,4,6,32.3441279
2024,4,7,32.3441279
2024,4,8,32.3441279
2024,4,9,32.3441279
2024,4,10,32.3441279
2024,4,11,32.3441279
2024,4,12,32.3441279
2024,4,13,32.3441279
2024,4,14,32.3441279
2024,4,15,32.3441279
2024,4,16,32.3441279
2024,4,17,32.3441279
2024,4,18,32.3441279
2024,4,19,32.3441279
2024,4,20,32.3441279
2024,4,21,32.3441279
2024,4,22,32.3441279
2024,4,23,32.3441279
2024,4,24,32.3441279
2024,4,25,32.3441279
2024,4,26,32.3441279
2024,4,27,32.3441279
2024,4,28,32.3441279
2024,4,29,32.3441279
2024,4,30,32.3441279
2024,5,1,32.3441279
2024,5,2,32.3441279
2024,5,3,32.3441279
2024,5,4,32.3441279
2024,5,5,32.3441279
2024,5,6,32.3441279
2024,5,7,32.3441279
2024,5,8,32.3441279
2024,5,9,32.3441279
2024,5,10,32.3441279
2024,5,11,32.3441279
2024,5,12,32.3441279
2024,5,13,32.3441279
2024,5,14,32.3441279
2024,5,15,32.3441279
2024,5,16,32.3441279
2024,5,17,32.3441279
2024,5,18,32.3441279
2024,5,19,32.3441279
2024,5,20,32.3441279
2024,5,21,32.3441279
2024,5,22,32.3441279
2024,5,23,32.3441279
2024,5,24,32.3441279
2024,5,25,32.3441279
2024,5,26,32.3441279
2024,5,27,32.3441279
2024,5,28,32.3441279
2024,5,29,32.3441279
2024,5,30,32.3441279
2024,5,31,32.3441279
2024,6,1,32.3441279
2024,6,2,32.3441279
2024,6,3,32.3441279
2024,6,4,32.3441279
2024,6,5,32.3441279
2024,6,6,32.3441279
2024,6,7,32.3441279
2024,6,8,32.3441279
2024,6,9,32.3441279
2024,6,10,32.3441279
2024,6,11,32.3441279
2024,6,12,32.3441279
2024,6,13,32.3441279
2024,6,14,32.3441279
2024,6,15,32.3441279
2024,6,16,32.3441279
2024,6,17,32.3441279
2024,6,18,32.3441279
2024,6,19,32.3441279
2024,6,20,32.3441279
2024,6,21,32.3441279
2024,6,22,32.3441279
2024,6,23,32.3441279
2024,6,24,32.3441279
2024,6,25,32.3441279
2024,6,26,32.3441279
2024,6,27,32.3441279
2024,6,28,32.3441279
2024,6,29,32.3441279
2024,6,30,32.3441279
2024,7,1,32.3441279
2024,7,2,32.3441279
2024,7,3,32.3441279
2024,7,4,32.3441279
2024,7,5,32.3441279
2024,7,6,32.3441279
2024,7,7,32.3441279
2024,7,8,32.3441279
2024,7,9,32.3441279
2024,7,10,32.3441279
2024,7,11,32.3441279
2024,7,12,32.3441279
2024,7,13,32.3441279
2024,7,14,32.3441279
2024,7,15,32.3441279
2024,7,16,32.3441279
2024,7,17,32.3441279
2024,7,18,32.3441279
2024,7,19,32.3441279
2024,7,20,32.3441279
2024,7,21,32.3441279
2024,7,22,32.3441279
2024,7,23,32.3441279
2024,7,24,32.3441279
2024,7,25,32.3441279
2024,7,26,32.3441279
2024,7,27,32.3441279
2024,7,28,32.3441279
2024,7,29,32.3441279
2024,7,30,32.3441279
2024,7,31,32.3441279
2024,8,1,32.3441279
2024,8,2,32.3441279
2024,8,3,32.3441279
2024,8,4,32.3441279
2024,8,5,32.3441279
2024,8,6,32.3441279
2024,8,7,32.3441279
2024,8,8,32.3441279
2024,8,9,32.3441279
2024,8,10,32.3441279
2024,8,11,32.3441279
2024,8,12,32.3441279
2024,8,13,32.3441279
2024,8,14,32.3441279
2024,8,15,32.3441279
2024,8,16,32.3441279
2024,8,17,32.3441279
2024,8,18,32.3441279
2024,8,19,32.3441279
2024,8,20,32.3441279
2024,8,21,32.3441279
2024,8,22,32.3441279
2024,8,23,32.3441279
2024,8,24,32.3441279
2024,8,25,32.3441279
2024,8,26,32.3441279
2024,8,27,32.3441279
2024,8,28,32.3441279
2024,8,29,32.3441279
2024,8,30,32.3441279
2024,8,31,32.3441279
2024,9,1,32.3441279
2024,9,2,32.3441279
2024,9,3,32.3441279
2024,9,4,32.3441279
2024,9,5,32.3441279
2024,9,6,32.3441279
2024,9,7,32.3441279
2024,9,8,32.3441279
2024,9,9,32.3441279
2024,9,10,32.3441279
2024,9,11,32.3441279
2024,9,12,32.3441279
2024,9,13,32.3441279
2024,9,14,32.3441279
2024,9,15,32.3441279
2024,9,16,32.3441279
2024,9,17,32.3441279
2024,9,18,32.3441279
2024,9,19,32.3441279
2024,9,20,32.3441279
2024,9,21,32.3441279
2024,9,22,32.3441279
2024,9,23,32.3441279
2024,9,24,32.3441279
2024,9,25,32.3441279
2024,9,26,32.3441279
2024,9,27,32.3441279
2024,9,28,32.3441279
2024,9,29,32.3441279
2024,9,30,32.3441279
2024,10,1,32.3441279
2024,10,2,32.3441279
2024,10,3,32.3441279
2024,10,4,32.3441279
2024,10,5,32.3441279
2024,10,6,32.3441279
2024,10,7,32.3441279
2024,10,8,32.3441279
2024,10,9,32.3441279
2024,10,10,32.3441279
2024,10,11,32.3441279
2024,10,12,32.3441279
2024,10,13,32.3441279
2024,10,14,32.3441279
2024,10,15,32.3441279
2024,10,16,32.3441279
2024,10,17,32.3441279
2024,10,18,32.3441279
2024,10,19,32.3441279
2024,10,20,32.3441279
2024,10,21,32.3441279
2024,10,22,32.3441279
2024,10,23,32.3441279
2024,10,24,32.3441279
2024,10,25,32.3441279
2024,10,26,32.3441279
2024,10,27,32.3441279
2024,10,28,32.3441279
2024,10,29,32.3441279
2024,10,30,32.3441279
2024,10,31,32.3441279
2024,11,1,32.3441279
2024,11,2,32.3441279
2024,11,3,32.3441279
2024,11,4,32.3441279
2024,11,5,32.3441279
2024,11,6,32.3441279
2024,11,7,32.3441279
2024,11,8,32.3441279
2024,11,9,32.3441279
2024,11,10,32.3441279
2024,11,11,32.3441279
2024,11,12,32.3441279
2024,11,13,32.3441279
2024,11,14,32.3441279
2024,11,15,32.3441279
2024,11,16,32.3441279
2024,11,17,32.3441279
2024,11,18,32.3441279
2024,11,19,32.3441279
2024,11,20,32.3441279
2024,11,21,32.3441279
2024,11,22,32.3441279
2024,11,23,32.3441279
2024,11,24,32.3441279
2024,11,25,32.3441279
2024,11,26,32.3441279
2024,11,27,32.3441279
2024,11,28,32.3441279
2024,11,29,32.3441279
2024,11,30,32.3441279
2024,12,1,32.3441279
2024,12,2,32.3441279
2024,12,3,32.3441279
2024,12,4,32.3441279
2024,12,5,32.3441279
2024,12,6,32.3441279
2024,12,7,32.3441279
2024,12,8,32.3441279
2024,12,9,32.3441279
2024,12,10,32.3441279
2024,12,11,32.3441279
2024,12,12,32.3441279
2024,12,13,32.3441279
2024,12,14,32.3441279
2024,12,15,32.3441279
2024,12,16,32.3441279
2024,12,17,32.3441279
2024,12,18,32.3441279
2024,12,19,32.3441279
2024,12,20,32.3441279
2024,12,21,32.3441279
2024,12,22,32.3441279
2024,12,23,32.3441279
2024,12,24,32.3441279
2024,12,25,32.3441279
2024,12,26,32.3441279
2024,12,27,32.3441279
2024,12,28,32.3441279
2024,12,29,32.3441279
2024,12,30,32.3441279
2024,12,31,32.3441279
2025,1,1,37.2867732
2025,1,2,37.2867732
2025,1,3,37.2867732
2025,1,4,37.2867732
2025,1,5,37.2867732
2025,1,6,37.2867732
2025,1,7,37.2867732
2025,1,8,37.2867732
2025,1,9,37.2867732
2025,1,10,37.2867732
2025,1,11,37.2867732
2025,1,12,37.2867732
2025,1,13,37.2867732
2025,1,14,37.2867732
2025,1,15,37.2867732
2025,1,16,37.2867732
2025,1,17,37.2867732
2025,1,18,37.2867732
2025,1,19,37.2867732
2025,1,20,37.2867732
2025,1,21,37.2867732
2025,1,22,37.2867732
2025,1,23,37.2867732
2025,1,24,37.2867732
2025,1,25,37.2867732
2025,1,26,37.2867732
2025,1,27,37.2867732
2025,1,28,37.2867732
2025,1,29,37.2867732
2025,1,30,37.2867732
2025,1,31,37.2867732
2025,2,1,37.2867732
2025,2,2,37.2867732
2025,2,3,37.2867732
2025,2,4,37.2867732
2025,2,5,37.2867732
2025,2,6,37.2867732
2025,2,7,37.2867732
2025,2,8,37.2867732
2025,2,9,37.2867732
2025,2,10,37.2867732
2025,2,11,37.2867732
2025,2,12,37.2867732
2025,2,13,37.2867732
2025,2,14,37.2867732
2025,2,15,37.2867732
2025,2,16,37.2867732
2025,2,17,37.2867732
2025,2,18,37.2867732
2025,2,19,37.2867732
2025,2,20,37.2867732
2025,2,21,37.2867732
2025,2,22,37.2867732
2025,2,23,37.2867732
2025,2,24,37.2867732
2025,2,25,37.2867732
2025,2,26,37.2867732
2025,2,27,37.2867732
2025,2,28,37.2867732
2025,3,1,37.2867732
2025,3,2,37.2867732
2025,3,3,37.2867732
2025,3,4,37.2867732
2025,3,5,37.2867732
2025,3,6,37.2867732
2025,3,7,37.2867732
2025,3,8,37.2867732
2025,3,9,37.2867732
2025,3,10,37.2867732
2025,3,11,37.2867732
2025,3,12,37.2867732
2025,3,13,37.2867732
2025,3,14,37.2867732
2025,3,15,37.2867732
2025,3,16,37.2867732
2025,3,17,37.2867732
2025,3,18,37.2867732
2025,3,19,37.2867732
2025,3,20,37.2867732
2025,3,21,37.2867732
2025,3,22,37.2867732
2025,3,23,37.2867732
2025,3,24,37.2867732
2025,3,25,37.2867732
2025,3,26,37.2867732
2025,3,27,37.2867732
2025,3,28,37.2867732
2025,3,29,37.2867732
2025,3,30,37.2867732
2025,3,31,37.2867732
2025,4,1,37.2867732
2025,4,2,37.2867732
2025,4,3,37.2867732
2025,4,4,37.2867732
2025,4,5,37.2867732
2025,4,6,37.2867732
2025,4,7,37.2867732
2025,4,8,37.2867732
2025,4,9,37.2867732
2025,4,10,37.2867732
2025,4,11,37.2867732
2025,4,12,37.2867732
2025,4,13,37.2867732
2025,4,14,37.2867732
2025,4,15,37.2867732
2025,4,16,37.2867732
2025,4,17,37.2867732
2025,4,18,37.2867732
2025,4,19,37.2867732
2025,4,20,37.2867732
2025,4,21,37.2867732
2025,4,22,37.2867732
2025,4,23,37.2867732
2025,4,24,37.2867732
2025,4,25,37.2867732
2025,4,26,37.2867732
2025,4,27,37.2867732
2025,4,28,37.2867732
2025,4,29,37.2867732
2025,4,30,37.2867732
2025,5,1,37.2867732
2025,5,2,37.2867732
2025,5,3,37.2867732
2025,5,4,37.2867732
2025,5,5,37.2867732
2025,5,6,37.2867732
2025,5,7,37.2867732
2025,5,8,37.2867732
2025,5,9,37.2867732
2025,5,10,37.2867732
2025,5,11,37.2867732
2025,5,12,37.2867732
2025,5,13,37.2867732
2025,5,14,37.2867732
2025,5,15,37.2867732
2025,5,16,37.2867732
2025,5,17,37.2867732
2025,5,18,37.2867732
2025,5,19,37.2867732
2025,5,20,37.2867732
2025,5,21,37.2867732
2025,5,22,37.2867732
2025,5,23,37.2867732
2025,5,24,37.2867732
2025,5,25,37.2867732
2025,5,26,37.2867732
2025,5,27,37.2867732
2025,5,28,37.2867732
2025,5,29,37.2867732
2025,5,30,37.2867732
2025,5,31,37.2867732
2025,6,1,37.2867732
2025,6,2,37.2867732
2025,6,3,37.2867732
2025,6,4,37.2867732
2025,6,5,37.2867732
2025,6,6,37.2867732
2025,6,7,37.2867732
2025,6,8,37.2867732
2025,6,9,37.2867732
2025,6,10,37.2867732
2025,6,11,37.2867732
2025,6,12,37.2867732
2025,6,13,37.2867732
2025,6,14,37.2867732
2025,6,15,37.2867732
2025,6,16,37.2867732
2025,6,17,37.2867732
2025,6,18,37.2867732
2025,6,19,37.2867732
2025,6,20,37.2867732
2025,6,21,37.2867732
2025,6,22,37.2867732
2025,6,23,37.2867732
2025,6,24,37.2867732
2025,6,25,37.2867732
2025,6,26,37.2867732
2025,6,27,37.2867732
2025,6,28,37.2867732
2025,6,29,37.2867732
2025,6,30,37.2867732
2025,7,1,37.2867732
2025,7,2,37.2867732
2025,7,3,37.2867732
2025,7,4,37.2867732
2025,7,5,37.2867732
2025,7,6,37.2867732
2025,7,7,37.2867732
2025,7,8,37.2867732
2025,7,9,37.2867732
2025,7,10,37.2867732
2025,7,11,37.2867732
2025,7,12,37.2867732
2025,7,13,37.2867732
2025,7,14,37.2867732
2025,7,15,37.2867732
2025,7,16,37.2867732
2025,7,17,37.2867732
2025,7,18,37.2867732
2025,7,19,37.2867732
2025,7,20,37.2867732
2025,7,21,37.2867732
2025,7,22,37.2867732
2025,7,23,37.2867732
2025,7,24,37.2867732
2025,7,25,37.2867732
2025,7,26,37.2867732
2025,7,27,37.2867732
2025,7,28,37.2867732
2025,7,29,37.2867732
2025,7,30,37.2867732
2025,7,31,37.2867732
2025,8,1,37.2867732
2025,8,2,37.2867732
2025,8,3,37.2867732
2025,8,4,37.2867732
2025,8,5,37.2867732
2025,8,6,37.2867732
2025,8,7,37.2867732
2025,8,8,37.2867732
2025,8,9,37.2867732
2025,8,10,37.2867732
2025,8,11,37.2867732
2025,8,12,37.2867732
2025,8,13,37.2867732
2025,8,14,37.2867732
2025,8,15,37.2867732
2025,8,16,37.2867732
2025,8,17,37.2867732
2025,8,18,37.2867732
2025,8,19,37.2867732
2025,8,20,37.2867732
2025,8,21,37.2867732
2025,8,22,37.2867732
2025,8,23,37.2867732
2025,8,24,37.2867732
2025,8,25,37.2867732
2025,8,26,37.2867732
2025,8,27,37.2867732
2025,8,28,37.2867732
2025,8,29,37.2867732
2025,8,30,37.2867732
2025,8,31,37.2867732
2025,9,1,37.2867732
2025,9,2,37.2867732
2025,9,3,37.2867732
2025,9,4,37.2867732
2025,9,5,37.2867732
2025,9,6,37.2867732
2025,9,7,37.2867732
2025,9,8,37.2867732
2025,9,9,37.2867732
2025,9,10,37.2867732
2025,9,11,37.2867732
2025,9,12,37.2867732
2025,9,13,37.2867732
2025,9,14,37.2867732
2025,9,15,37.2867732
2025,9,16,37.2867732
2025,9,17,37.2867732
2025,9,18,37.2867732
2025,9,19,37.2867732
2025,9,20,37.2867732
2025,9,21,37.2867732
2025,9,22,37.2867732
2025,9,23,37.2867732
2025,9,24,37.2867732
2025,9,25,37.2867732
2025,9,26,37.2867732
2025,9,27,37.2867732
2025,9,28,37.2867732
2025,9,29,37.2867732
2025,9,30,37.2867732
2025,10,1,37.2867732
2025,10,2,37.2867732
2025,10,3,37.2867732
2025,10,4,37.2867732
2025,10,5,37.2867732
2025,10,6,37.2867732
2025,10,7,37.2867732
2025,10,8,37.2867732
2025,10,9,37.2867732
2025,10,10,37.2867732
2025,10,11,37.2867732
2025,10,12,37.2867732
2025,10,13,37.2867732
2025,10,14,37.2867732
2025,10,15,37.2867732
2025,10,16,37.2867732
2025,10,17,37.2867732
2025,10,18,37.2867732
2025,10,19,37.2867732
2025,10,20,37.2867732
2025,10,21,37.2867732
2025,10,22,37.2867732
2025,10,23,37.2867732
2025,10,24,37.2867732
2025,10,25,37.2867732
2025,10,26,37.2867732
2025,10,27,37.2867732
2025,10,28,37.2867732
2025,10,29,37.2867732
2025,10,30,37.2867732
2025,10,31,37.2867732
2025,11,1,37.2867732
2025,11,2,37.2867732
2025,11,3,37.2867732
2025,11,4,37.2867732
2025,11,5,37.2867732
2025,11,6,37.2867732
2025,11,7,37.2867732
2025,11,8,37.2867732
2025,11,9,37.2867732
2025,11,10,37.2867732
2025,11,11,37.2867732
2025,11,12,37.2867732
2025,11,13,37.2867732
2025,11,14,37.2867732
2025,11,15,37.2867732
2025,11,16,37.2867732
2025,11,17,37.2867732
2025,11,18,37.2867732
2025,11,19,37.2867732
2025,11,20,37.2867732
2025,11,21,37.2867732
2025,11,22,37.2867732
2025,11,23,37.2867732
2025,11,24,37.2867732
2025,11,25,37.2867732
2025,11,26,37.2867732
2025,11,27,37.2867732
2025,11,28,37.2867732
2025,11,29,37.2867732
2025,11,30,37.2867732
2025,12,1,37.2867732
2025,12,2,37.2867732
2025,12,3,37.2867732
2025,12,4,37.2867732
2025,12,5,37.2867732
2025,12,6,37.2867732
2025,12,7,37.2867732
2025,12,8,37.2867732
2025,12,9,37.2867732
2025,12,10,37.2867732
2025,12,11,37.2867732
2025,12,12,37.2867732
2025,12,13,37.2867732
2025,12,14,37.2867732
2025,12,15,37.2867732
2025,12,16,37.2867732
2025,12,17,37.2867732
2025,12,18,37.2867732
2025,12,19,37.2867732
2025,12,20,37.2867732
2025,12,21,37.2867732
2025,12,22,37.2867732
2025,12,23,37.2867732
2025,12,24,37.2867732
2025,12,25,37.2867732
2025,12,26,37.2867732
2025,12,27,37.2867732
2025,12,28,37.2867732
2025,12,29,37.2867732
2025,12,30,37.2867732
2025,12,31,37.2867732
2026,1,1,42.2294186
2026,1,2,42.2294186
2026,1,3,42.2294186
2026,1,4,42.2294186
2026,1,5,42.2294186
2026,1,6,42.2294186
2026,1,7,42.2294186
2026,1,8,42.2294186
2026,1,9,42.2294186
2026,1,10,42.2294186
2026,1,11,42.2294186
2026,1,12,42.2294186
2026,1,13,42.2294186
2026,1,14,42.2294186
2026,1,15,42.2294186
2026,1,16,42.2294186
2026,1,17,42.2294186
2026,1,18,42.2294186
2026,1,19,42.2294186
2026,1,20,42.2294186
2026,1,21,42.2294186
2026,1,22,42.2294186
2026,1,23,42.2294186
2026,1,24,42.2294186
2026,1,25,42.2294186
2026,1,26,42.2294186
2026,1,27,42.2294186
2026,1,28,42.2294186
2026,1,29,42.2294186
2026,1,30,42.2294186
2026,1,31,42.2294186
2026,2,1,42.2294186
2026,2,2,42.2294186
2026,2,3,42.2294186
2026,2,4,42.2294186
2026,2,5,42.2294186
2026,2,6,42.2294186
2026,2,7,42.2294186
2026,2,8,42.2294186
2026,2,9,42.2294186
2026,2,10,42.2294186
2026,2,11,42.2294186
2026,2,12,42.2294186
2026,2,13,42.2294186
2026,2,14,42.2294186
2026,2,15,42.2294186
2026,2,16,42.2294186
2026,2,17,42.2294186
2026,2,18,42.2294186
2026,2,19,42.2294186
2026,2,20,42.2294186
2026,2,21,42.2294186
2026,2,22,42.2294186
2026,2,23,42.2294186
2026,2,24,42.2294186
2026,2,25,42.2294186
2026,2,26,42.2294186
2026,2,27,42.2294186
2026,2,28,42.2294186
2026,3,1,42.2294186
2026,3,2,42.2294186
2026,3,3,42.2294186
2026,3,4,42.2294186
2026,3,5,42.2294186
2026,3,6,42.2294186
2026,3,7,42.2294186
2026,3,8,42.2294186
2026,3,9,42.2294186
2026,3,10,42.2294186
2026,3,11,42.2294186
2026,3,12,42.2294186
2026,3,13,42.2294186
2026,3,14,42.2294186
2026,3,15,42.2294186
2026,3,16,42.2294186
2026,3,17,42.2294186
2026,3,18,42.2294186
